t (s), X (px), Y (px), theta (deg), GoalX (px), GoalY (px)
5.1975250244140625e-05, 88, 120, 68, 160, 120
0.002012968063354492, 88, 120, 68, 160, 120
0.013065338134765625, 88, 120, 68, 160, 120
0.018512725830078125, 88, 120, 68, 160, 120
0.02169632911682129, 88, 120, 68, 160, 120
0.03633284568786621, 88, 120, 68, 160, 120
0.03860807418823242, 88, 120, 68, 160, 120
0.061467647552490234, 88, 120, 68, 160, 120
0.06379199028015137, 88, 120, 68, 160, 120
0.06590843200683594, 87, 119, 43, 160, 120
0.06760120391845703, 87, 119, 43, 160, 120
0.07920193672180176, 87, 119, 43, 160, 120
0.0852813720703125, 87, 119, 43, 160, 120
0.09456491470336914, 87, 119, 43, 160, 120
0.10634708404541016, 88, 120, 15, 160, 120
0.11066818237304688, 88, 120, 15, 160, 120
0.11212968826293945, 88, 120, 15, 160, 120
0.11552762985229492, 88, 120, 15, 160, 120
0.12154126167297363, 88, 120, 15, 160, 120
0.12307047843933105, 88, 120, 15, 160, 120
0.1286780834197998, 89, 121, 18, 160, 120
0.15213584899902344, 89, 121, 18, 160, 120
0.15450239181518555, 89, 121, 18, 160, 120
0.16466522216796875, 89, 121, 18, 160, 120
0.16804766654968262, 89, 121, 22, 160, 120
0.17072176933288574, 89, 121, 22, 160, 120
0.17197942733764648, 89, 121, 22, 160, 120
0.17322921752929688, 89, 121, 22, 160, 120
0.17447376251220703, 89, 121, 22, 160, 120
0.1757659912109375, 89, 121, 22, 160, 120
0.19439268112182617, 89, 121, 22, 160, 120
0.20087981224060059, 90, 121, 20, 160, 120
0.20275378227233887, 90, 121, 20, 160, 120
0.2037367820739746, 90, 121, 20, 160, 120
0.20459938049316406, 90, 121, 20, 160, 120
0.20817875862121582, 90, 121, 20, 160, 120
0.21868515014648438, 90, 121, 20, 160, 120
0.22452926635742188, 90, 121, 20, 160, 120
0.22850608825683594, 90, 122, 20, 160, 120
0.23021435737609863, 90, 122, 20, 160, 120
0.24410533905029297, 90, 122, 20, 160, 120
0.2472066879272461, 90, 122, 20, 160, 120
0.2488853931427002, 90, 122, 20, 160, 120
0.2529730796813965, 90, 122, 20, 160, 120
0.2565138339996338, 90, 122, 20, 160, 120
0.25848960876464844, 90, 122, 20, 160, 120
0.2602696418762207, 90, 122, 20, 160, 120
0.2617533206939697, 90, 122, 20, 160, 120
0.266232967376709, 90, 122, 20, 160, 120
0.28596043586730957, 90, 122, 22, 160, 120
0.2874612808227539, 90, 122, 22, 160, 120
0.28976917266845703, 90, 122, 22, 160, 120
0.2931942939758301, 90, 122, 22, 160, 120
0.29615235328674316, 91, 122, 32, 160, 120
0.29750967025756836, 91, 122, 32, 160, 120
0.29849815368652344, 91, 122, 32, 160, 120
0.2994053363800049, 91, 122, 32, 160, 120
0.30031585693359375, 91, 122, 32, 160, 120
0.3012688159942627, 91, 122, 32, 160, 120
0.3021695613861084, 91, 122, 32, 160, 120
0.30307722091674805, 91, 122, 32, 160, 120
0.3040459156036377, 91, 122, 32, 160, 120
0.3050382137298584, 91, 122, 32, 160, 120
0.3062927722930908, 91, 122, 32, 160, 120
0.30735063552856445, 91, 122, 32, 160, 120
0.308368444442749, 91, 122, 32, 160, 120
0.3093698024749756, 91, 122, 32, 160, 120
0.3104085922241211, 91, 122, 32, 160, 120
0.31248927116394043, 91, 122, 32, 160, 120
0.31391358375549316, 91, 122, 32, 160, 120
0.31794071197509766, 91, 122, 32, 160, 120
0.34109044075012207, 91, 122, 32, 160, 120
0.343109130859375, 91, 123, 34, 160, 120
0.34487342834472656, 91, 123, 34, 160, 120
0.3497958183288574, 91, 123, 34, 160, 120
0.35297393798828125, 91, 123, 34, 160, 120
0.353985071182251, 91, 123, 34, 160, 120
0.3550403118133545, 91, 123, 34, 160, 120
0.35609912872314453, 91, 123, 34, 160, 120
0.35699939727783203, 91, 123, 34, 160, 120
0.35788702964782715, 91, 123, 34, 160, 120
0.3587911128997803, 91, 123, 34, 160, 120
0.36189937591552734, 91, 123, 34, 160, 120
0.3755965232849121, 93, 124, 29, 160, 120
0.39666104316711426, 93, 124, 29, 160, 120
0.4072592258453369, 94, 125, 36, 160, 120
0.41417837142944336, 94, 125, 36, 160, 120
0.43411827087402344, 94, 125, 36, 160, 120
0.44782137870788574, 94, 125, 36, 160, 120
0.4562549591064453, 94, 125, 36, 160, 120
0.4619448184967041, 94, 125, 36, 160, 120
0.4678828716278076, 94, 125, 36, 160, 120
0.48575353622436523, 94, 125, 36, 160, 120
0.4970691204071045, 95, 126, 26, 160, 120
0.498809814453125, 95, 126, 26, 160, 120
0.5070984363555908, 95, 126, 26, 160, 120
0.5095412731170654, 95, 126, 26, 160, 120
0.5118110179901123, 95, 126, 26, 160, 120
0.5134119987487793, 95, 126, 26, 160, 120
0.5149786472320557, 95, 126, 26, 160, 120
0.5201194286346436, 95, 126, 26, 160, 120
0.530808687210083, 95, 126, 26, 160, 120
0.53243088722229, 95, 126, 26, 160, 120
0.5334160327911377, 95, 126, 26, 160, 120
0.5344259738922119, 95, 126, 26, 160, 120
0.5355322360992432, 95, 126, 26, 160, 120
0.536482572555542, 95, 126, 26, 160, 120
0.5374529361724854, 95, 126, 26, 160, 120
0.5383737087249756, 95, 126, 26, 160, 120
0.5392940044403076, 95, 126, 26, 160, 120
0.540236234664917, 95, 126, 26, 160, 120
0.5411641597747803, 95, 126, 26, 160, 120
0.5421187877655029, 95, 126, 26, 160, 120
0.543067455291748, 95, 126, 26, 160, 120
0.5440149307250977, 95, 126, 26, 160, 120
0.5449526309967041, 95, 126, 26, 160, 120
0.5459747314453125, 95, 126, 26, 160, 120
0.5469081401824951, 95, 126, 26, 160, 120
0.5516419410705566, 95, 126, 26, 160, 120
0.5552940368652344, 95, 126, 26, 160, 120
0.5574800968170166, 95, 126, 26, 160, 120
0.5870363712310791, 95, 126, 26, 160, 120
0.5890655517578125, 98, 129, 26, 160, 120
0.5901074409484863, 98, 129, 26, 160, 120
0.5910656452178955, 98, 129, 26, 160, 120
0.5923099517822266, 98, 129, 26, 160, 120
0.5932867527008057, 98, 129, 26, 160, 120
0.5942418575286865, 98, 129, 26, 160, 120
0.5952250957489014, 98, 129, 26, 160, 120
0.5962586402893066, 98, 129, 26, 160, 120
0.597222089767456, 98, 129, 26, 160, 120
0.5981507301330566, 98, 129, 26, 160, 120
0.599109411239624, 98, 129, 26, 160, 120
0.6000399589538574, 98, 129, 26, 160, 120
0.600987434387207, 98, 129, 26, 160, 120
0.6019065380096436, 98, 129, 26, 160, 120
0.6028296947479248, 98, 129, 26, 160, 120
0.6037788391113281, 98, 129, 26, 160, 120
0.6047182083129883, 98, 129, 26, 160, 120
0.6057150363922119, 98, 129, 26, 160, 120
0.6066708564758301, 98, 129, 26, 160, 120
0.6181743144989014, 98, 129, 26, 160, 120
0.6198294162750244, 98, 129, 26, 160, 120
0.6216986179351807, 98, 129, 26, 160, 120
0.6246635913848877, 98, 129, 26, 160, 120
0.6302947998046875, 98, 129, 26, 160, 120
0.6439249515533447, 98, 129, 26, 160, 120
0.645697832107544, 98, 129, 26, 160, 120
0.6466538906097412, 98, 129, 26, 160, 120
0.647641658782959, 98, 129, 26, 160, 120
0.648653507232666, 98, 129, 26, 160, 120
0.6504290103912354, 98, 129, 26, 160, 120
0.6522819995880127, 98, 129, 26, 160, 120
0.6535143852233887, 98, 129, 26, 160, 120
0.6549413204193115, 100, 131, 17, 160, 120
0.6562116146087646, 100, 131, 17, 160, 120
0.6571605205535889, 100, 131, 17, 160, 120
0.6582586765289307, 100, 131, 17, 160, 120
0.6592245101928711, 100, 131, 17, 160, 120
0.6601929664611816, 100, 131, 17, 160, 120
0.6611373424530029, 100, 131, 17, 160, 120
0.6620807647705078, 100, 131, 17, 160, 120
0.6629929542541504, 100, 131, 17, 160, 120
0.6639037132263184, 100, 131, 17, 160, 120
0.6648154258728027, 100, 131, 17, 160, 120
0.6658000946044922, 100, 131, 17, 160, 120
0.6761641502380371, 100, 131, 17, 160, 120
0.6820406913757324, 100, 131, 17, 160, 120
0.696077823638916, 100, 131, 17, 160, 120
0.7026941776275635, 101, 132, 16, 160, 120
0.7045280933380127, 101, 132, 16, 160, 120
0.7057771682739258, 101, 132, 16, 160, 120
0.706838846206665, 101, 132, 16, 160, 120
0.7078747749328613, 101, 132, 16, 160, 120
0.7088348865509033, 101, 132, 16, 160, 120
0.70975661277771, 101, 132, 16, 160, 120
0.7106771469116211, 101, 132, 16, 160, 120
0.7116432189941406, 101, 132, 16, 160, 120
0.7125580310821533, 101, 132, 16, 160, 120
0.713486909866333, 101, 132, 16, 160, 120
0.7144098281860352, 101, 132, 16, 160, 120
0.7313921451568604, 101, 132, 16, 160, 120
0.7462332248687744, 103, 133, 21, 160, 120
0.7499878406524658, 103, 133, 21, 160, 120
0.7535181045532227, 103, 133, 21, 160, 120
0.7549762725830078, 103, 133, 21, 160, 120
0.757007360458374, 103, 133, 21, 160, 120
0.759613037109375, 103, 133, 21, 160, 120
0.7631363868713379, 103, 133, 21, 160, 120
0.7642178535461426, 103, 133, 21, 160, 120
0.7653229236602783, 103, 133, 21, 160, 120
0.7681634426116943, 103, 133, 21, 160, 120
0.7814462184906006, 103, 134, 24, 160, 120
0.7836887836456299, 103, 134, 24, 160, 120
0.7845926284790039, 103, 134, 24, 160, 120
0.7856299877166748, 103, 134, 24, 160, 120
0.7865695953369141, 103, 134, 24, 160, 120
0.7875032424926758, 103, 134, 24, 160, 120
0.7883784770965576, 103, 134, 24, 160, 120
0.7892529964447021, 103, 134, 24, 160, 120
0.7901811599731445, 103, 134, 24, 160, 120
0.7910864353179932, 103, 134, 24, 160, 120
0.7954082489013672, 103, 134, 24, 160, 120
0.7979714870452881, 103, 134, 24, 160, 120
0.8057293891906738, 103, 134, 24, 160, 120
0.808295488357544, 103, 134, 24, 160, 120
0.8107752799987793, 103, 134, 24, 160, 120
0.8127543926239014, 103, 134, 24, 160, 120
0.8143956661224365, 103, 134, 24, 160, 120
0.8155090808868408, 103, 134, 24, 160, 120
0.82914137840271, 103, 134, 24, 160, 120
0.8314673900604248, 103, 134, 24, 160, 120
0.8327045440673828, 103, 134, 24, 160, 120
0.8336730003356934, 103, 134, 24, 160, 120
0.8346381187438965, 103, 134, 24, 160, 120
0.8356537818908691, 103, 134, 24, 160, 120
