t (s), X (px), Y (px), theta (deg), GoalX (px), GoalY (px)
3.695487976074219e-05, 100, 119, 104, 128, 96
0.0017199516296386719, 100, 119, 104, 128, 96
0.006034135818481445, 100, 119, 104, 128, 96
0.009651660919189453, 100, 119, 104, 128, 96
0.019280195236206055, 100, 119, 104, 128, 96
0.021111249923706055, 100, 119, 104, 128, 96
0.022387027740478516, 100, 119, 104, 128, 96
0.023835420608520508, 100, 119, 104, 128, 96
0.02809596061706543, 100, 119, 104, 128, 96
0.02987217903137207, 100, 119, 104, 128, 96
0.031060218811035156, 100, 119, 104, 128, 96
0.03217506408691406, 100, 119, 104, 128, 96
0.03368830680847168, 100, 119, 104, 128, 96
0.035390377044677734, 100, 119, 104, 128, 96
0.03692746162414551, 100, 119, 104, 128, 96
0.03850102424621582, 100, 119, 104, 128, 96
0.04198575019836426, 100, 119, 104, 128, 96
0.08976936340332031, 100, 118, 80, 128, 96
0.09124040603637695, 100, 118, 80, 128, 96
0.09270024299621582, 100, 118, 80, 128, 96
0.09419393539428711, 100, 118, 80, 128, 96
0.09748625755310059, 100, 118, 80, 128, 96
0.10039329528808594, 100, 118, 80, 128, 96
0.10201001167297363, 100, 118, 80, 128, 96
0.10408544540405273, 100, 118, 80, 128, 96
0.10577249526977539, 100, 118, 80, 128, 96
0.11066222190856934, 100, 118, 80, 128, 96
0.11205482482910156, 100, 118, 80, 128, 96
0.11327362060546875, 100, 118, 80, 128, 96
0.1144871711730957, 100, 118, 80, 128, 96
0.11568808555603027, 100, 118, 80, 128, 96
0.11702966690063477, 100, 118, 80, 128, 96
0.11845970153808594, 100, 118, 80, 128, 96
0.11976218223571777, 100, 118, 80, 128, 96
0.12104034423828125, 100, 118, 80, 128, 96
0.12322759628295898, 100, 118, 80, 128, 96
0.1253373622894287, 100, 118, 80, 128, 96
0.1396489143371582, 100, 118, 80, 128, 96
0.14176058769226074, 100, 118, 80, 128, 96
0.14858222007751465, 100, 118, 80, 128, 96
0.15679311752319336, 100, 118, 80, 128, 96
0.15860867500305176, 102, 120, -13, 128, 96
0.16063404083251953, 102, 120, -13, 128, 96
0.16184234619140625, 102, 120, -13, 128, 96
0.16299986839294434, 102, 120, -13, 128, 96
0.16406655311584473, 102, 120, -13, 128, 96
0.1652681827545166, 102, 120, -13, 128, 96
0.1671738624572754, 102, 120, -13, 128, 96
0.16922879219055176, 102, 120, -13, 128, 96
0.17043209075927734, 102, 120, -13, 128, 96
0.17676973342895508, 102, 120, -13, 128, 96
0.1896989345550537, 102, 120, -13, 128, 96
0.19162487983703613, 102, 120, -13, 128, 96
0.19292998313903809, 103, 119, -12, 128, 96
0.1939244270324707, 103, 119, -12, 128, 96
0.19516634941101074, 103, 119, -12, 128, 96
0.19607949256896973, 103, 119, -12, 128, 96
0.19698166847229004, 103, 119, -12, 128, 96
0.197892427444458, 103, 119, -12, 128, 96
0.19879484176635742, 103, 119, -12, 128, 96
0.20995545387268066, 103, 119, -12, 128, 96
0.21708250045776367, 103, 119, -12, 128, 96
0.22104978561401367, 104, 120, -14, 128, 96
0.22313904762268066, 104, 120, -14, 128, 96
