t (s), X (px), Y (px), theta (deg), GoalX (px), GoalY (px)
4.696846008300781e-05, 74, 119, -11, 128, 96
0.04997873306274414, 74, 119, -11, 128, 96
0.05311918258666992, 74, 119, -11, 128, 96
0.057518720626831055, 74, 119, -11, 128, 96
0.07726168632507324, 74, 119, -11, 128, 96
0.0893869400024414, 74, 119, -11, 128, 96
0.09107470512390137, 74, 119, -11, 128, 96
0.09270119667053223, 74, 119, -11, 128, 96
0.09613323211669922, 74, 119, -11, 128, 96
0.09757041931152344, 74, 119, -11, 128, 96
0.09984707832336426, 74, 119, -11, 128, 96
0.10117125511169434, 74, 119, -11, 128, 96
0.10216212272644043, 74, 119, -11, 128, 96
0.10322260856628418, 74, 119, -11, 128, 96
0.1042943000793457, 74, 119, -11, 128, 96
0.11027050018310547, 74, 119, -11, 128, 96
0.11733102798461914, 74, 119, -11, 128, 96
0.12019181251525879, 74, 119, -11, 128, 96
0.12117671966552734, 74, 119, -11, 128, 96
0.12210464477539062, 74, 119, -11, 128, 96
0.12306356430053711, 74, 119, -11, 128, 96
0.12398004531860352, 74, 119, -11, 128, 96
0.12496781349182129, 74, 119, -11, 128, 96
0.1315937042236328, 74, 119, -11, 128, 96
0.13794660568237305, 74, 119, -11, 128, 96
0.14156436920166016, 74, 119, -11, 128, 96
0.1451268196105957, 74, 119, -11, 128, 96
0.1497960090637207, 74, 121, -7, 128, 96
0.15154147148132324, 74, 121, -7, 128, 96
0.15258312225341797, 74, 121, -7, 128, 96
0.15456843376159668, 74, 121, -7, 128, 96
0.17060041427612305, 74, 121, -7, 128, 96
0.1735856533050537, 74, 121, -7, 128, 96
0.17482924461364746, 74, 121, -7, 128, 96
0.1761481761932373, 74, 121, 7, 128, 96
0.17745518684387207, 74, 121, 7, 128, 96
0.17847132682800293, 74, 121, 7, 128, 96
0.17951488494873047, 74, 121, 7, 128, 96
0.18053674697875977, 74, 121, 7, 128, 96
0.1816415786743164, 74, 121, 7, 128, 96
0.18265914916992188, 74, 121, 7, 128, 96
0.1837170124053955, 74, 121, 7, 128, 96
0.18481993675231934, 74, 121, 7, 128, 96
0.18603134155273438, 74, 121, 7, 128, 96
0.1876053810119629, 74, 121, 7, 128, 96
0.189192533493042, 74, 121, 7, 128, 96
0.19085001945495605, 74, 121, 7, 128, 96
0.19266963005065918, 74, 121, 7, 128, 96
0.1964097023010254, 74, 121, 7, 128, 96
0.20078444480895996, 74, 121, 7, 128, 96
0.20821022987365723, 74, 121, 7, 128, 96
0.2152724266052246, 74, 122, 7, 128, 96
0.22975540161132812, 74, 122, 7, 128, 96
0.28049206733703613, 75, 123, 2, 128, 96
0.28214073181152344, 75, 123, 2, 128, 96
0.28463006019592285, 75, 123, 2, 128, 96
0.2866401672363281, 75, 123, 2, 128, 96
0.28798770904541016, 75, 123, 2, 128, 96
0.2890660762786865, 75, 123, 2, 128, 96
0.29021167755126953, 75, 123, 2, 128, 96
0.2913844585418701, 75, 123, 2, 128, 96
0.2925760746002197, 75, 123, 2, 128, 96
0.294705867767334, 75, 123, 2, 128, 96
0.29592061042785645, 75, 123, 2, 128, 96
0.29760313034057617, 75, 123, 2, 128, 96
0.30037522315979004, 75, 123, 2, 128, 96
0.3030116558074951, 75, 123, 2, 128, 96
0.3115501403808594, 75, 123, 2, 128, 96
0.32149243354797363, 75, 123, 2, 128, 96
0.33460569381713867, 75, 123, 2, 128, 96
0.33619189262390137, 75, 123, 2, 128, 96
0.3382236957550049, 78, 124, 74, 128, 96
0.3398244380950928, 78, 124, 74, 128, 96
0.3410193920135498, 78, 124, 74, 128, 96
0.34212779998779297, 78, 124, 74, 128, 96
0.3445734977722168, 78, 124, 74, 128, 96
0.3470118045806885, 78, 124, 74, 128, 96
0.3482241630554199, 78, 124, 74, 128, 96
0.34988927841186523, 78, 124, 74, 128, 96
0.35169339179992676, 78, 124, 74, 128, 96
0.3531458377838135, 78, 124, 74, 128, 96
0.3546617031097412, 78, 124, 74, 128, 96
0.37360477447509766, 78, 124, 74, 128, 96
0.38430356979370117, 78, 126, -14, 128, 96
0.38540029525756836, 78, 126, -14, 128, 96
0.3880958557128906, 78, 126, -14, 128, 96
0.3925442695617676, 78, 126, -14, 128, 96
0.3953275680541992, 78, 126, -14, 128, 96
0.3982365131378174, 78, 126, -14, 128, 96
0.40203166007995605, 78, 126, -14, 128, 96
0.4040262699127197, 78, 126, -14, 128, 96
0.4059016704559326, 77, 126, 9, 128, 96
0.40752148628234863, 77, 126, 9, 128, 96
0.40865373611450195, 77, 126, 9, 128, 96
0.42707347869873047, 77, 126, 9, 128, 96
0.4388158321380615, 81, 126, 2, 128, 96
0.4429967403411865, 81, 126, 2, 128, 96
0.44490814208984375, 81, 126, 2, 128, 96
0.44860315322875977, 81, 126, 2, 128, 96
0.4501643180847168, 81, 126, 2, 128, 96
0.45170021057128906, 81, 126, 2, 128, 96
0.45316576957702637, 81, 126, 2, 128, 96
0.4543342590332031, 81, 126, 2, 128, 96
0.45550036430358887, 81, 126, 2, 128, 96
0.45658016204833984, 81, 126, 2, 128, 96
0.4579503536224365, 81, 126, 2, 128, 96
0.4600977897644043, 81, 126, 2, 128, 96
0.4769272804260254, 81, 126, 2, 128, 96
0.4798595905303955, 81, 126, 2, 128, 96
0.4815230369567871, 82, 128, 2, 128, 96
0.48268723487854004, 82, 128, 2, 128, 96
0.48360562324523926, 82, 128, 2, 128, 96
0.48456287384033203, 82, 128, 2, 128, 96
0.4854700565338135, 82, 128, 2, 128, 96
0.48638367652893066, 82, 128, 2, 128, 96
0.48728513717651367, 82, 128, 2, 128, 96
0.48826169967651367, 82, 128, 2, 128, 96
0.48921775817871094, 82, 128, 2, 128, 96
0.49774980545043945, 82, 128, 2, 128, 96
0.5045778751373291, 82, 128, 2, 128, 96
0.5080549716949463, 82, 128, 2, 128, 96
0.5111904144287109, 82, 128, 2, 128, 96
0.5147969722747803, 82, 128, -7, 128, 96
0.5164399147033691, 82, 128, -7, 128, 96
